Concept + Q# ID,Combined
AA1,The music had an influence on what I was thinking about
AA2,The music induced visual imagery for me
AA3,The music put fantastic images in my head
AA4,Listening to music made me think about different experiences I have had
AA5,The music helped me experience the moment as I would have as a child
AA6,I saw vivid images in my head during the musical experience
AA7,I felt nostalgic listening to the music
AA8,I imaged how the music would sound in different contexts
AA9,The music reminded me of feeling a certain way in a different experience
AA10,I used the music to think about how I was feeling
AA11,I mentally compared this experience with a different experience that shared the same piece of music
AA12,The attention I paid my emotions during the experience changed what I thought about
AA13,Listening to music reminded me of feeling a certain way
AA14,The music led my thoughts somewhere else
AA15,The music made me contemplate 
AA16,I was lost in thought while listening to the music
AA17,The music helped me reminisce 
AA18,The music was intellectually stimulating
AA19,The music reminded me of a particular person
AA20,"The music evoked a memory of a person, place, or experience"
AA21,The music helped me learn something about another person
AA22,The music told me what other people might be thinking about
AA23,The thoughts I had while listening to the music would have been socially appropriate
AA24,I controlled my emotions toward the music by changing the way I thought about the experience
AA25,I wanted control over the music so I could think properly
SA1,I was focused on patterns or themes in the music
SA2,I focused on how all of the different parts of the music came together 
SA3,I listened for how the patterns changed in the music
SA4,I transformed sounds into music by the way I was listening
SA5,I had a clear idea of what to listen for when I heard what was playing
SA6,I focused on hearing different layers in the music
SA7,"As the music progressed, the themes or melodies made me feel differently"
SA8,I tried to match my emotions to the themes happening in the music
SA9,"I followed a specific sound, pattern, or theme on an emotional journey"
SA10,Focusing on the structure of the music prepared me 
SA11,Listening for details in the music allowed me to anticipate what came next
SA12,I listened to understand something about the musical structure
SA13,"I focused on connecting to the musical content, themes, or patterns of sound"
SA14,I could tell they were singing or playing out of time with the beat
SA15,I could tell they were singing or playing out of tune
SA16,I was judging the quality of the artist
SA17,I felt encouraged to focus on the structure of the music
SA18,I had no idea if I would be in tune with the music
SA19,I chose to pay attention to the structural development of the music
RC1,I focused all my attention toward the small details of the music
RC2,I gained new insights about the music by focusing on the small details
RC3,I focused on subtle aspects of the music
RC4,I paid attention to small details in the music for a long period of time
RC5,I was analysing the sublte complexity of the music
RC6,I was hyper aware of the small changes in the music because of how they affected my emotions
RC7,Focusing on specific musical details made me more aware of my emotions
RC8,I focused so much on the details of the music I forgot about everything else around me
RC9,I focused intensely on the individual sounds to prepare for any changes
RC10,I concentrated on the music rather than doing anything else
RC11,I heard all of the intricate details in the music
RC12,I was so caught up in the music I forgot about the world outside of myself
RC13,I was attentive toward what other people thought about the small musical details
RC14,I focused so much on listening to the music I forgot if someone else was there
RC15,It felt socially appropriate to focus intently on the music
RC16,I chose to analyse the minor details of the music
RC17,I needed to focus on analysing the sounds embedded in the music
ST1,The content of the music helped me understand what it was trying to say
ST2,"I found meaning in the music by listening for the form, harmony, melody, or rhythm"
ST3,I found meaning by listening to individual parts of the music
ST4,I was interested in understanding the structure of the music
ST5,I tried to understand the music completely
ST6,I put together specific parts of the music to understand the meaning of the whole piece
ST7,I was interested in how the written score could be organised or laid out 
ST8,How all of the musical parts came together was meaningful
ST9,The musical structure meant something because of how it made me feel
ST10,My emotions were aligned with the expression of emotion coming from the music
ST11,"My emotions were aligned with the harmony, melody, or rhythm of the music"
ST12,The music expressed something that I could not express in words
ST13,"The harmony, melody, or rhythm prepared me for upcoming changes "
ST14,Understanding the meaning behind the musical structure prepared me for new experiences
ST15,I learned about what made a new piece meaningful
ST16,I learned what parts were important for developing the meaning of the music 
ST17,I tried to understand what the music was trying to communicate
ST18,The structure of the music allowed everyone to understand its meaning
ST19,I felt that meaning came from the content or structure of the music 
ST20,People said I would understand the meaning of the music by listening for it's content or structure
ST21,The things that made up the music are important to me
ST22,How the music is structured is important to me
ST23,I identified what was special about the music
SE1,The music expressed something personal and touching to me
SE2,I found the lyrics to be personally meaningful
SE3,The music affected my personal identity 
SE4,I was reminded of a past experience I had with this type of music
SE5,The music made me stop what I was doing to appreciate it fully 
SE6,The music helped me understand myself
SE7,I recognized elements of myself in the lyrics 
SE8,The music reminded me of personal memories 
SE9,I always think of the same person when I hear this type of music
SE10,The music encapsulates a certain time of my life
SE11,The experience was meaningful because the music gave me an unforgettable moment
SE12,I associate this music with specific memories
SE13,I associate this music with particular values I want to have
SE14,The music helped me learn something about myself
SE15,I felt free to be who ever I wanted when the music came on
SE16,The music is meaningful because it structured my daily life
SE17,The music added meaning to my life
SE18,I remembered an experience I had while listening to this music with others
SE19,Other people helped me identify why the music was meaningful for me
SE20,I got meaning from identifying with a particular music scene
SE21,The music was meaningful to someone I know
SE22,The experience was so important that I had to have my own music 
SE23,The experience bothered me because I could not listen to music 100% as I usually / normally do
SO1,Listening to music meant I was connected to the world
SO2,The music is important to my cultural history or identity
SO3,The music showed others my political engagement
SO4,I felt what the artist or composer wanted me to feel in the music
SO5,I understood the songwriter / composer's intentions completely
SO6,I got meaning by imagining the musicians playing and performing
SO7,I mentally compared the meaning of the music to the culture that produced the music with what it meant in present-day culture
SO8,The music acted as an extension of its time period
SO9,I was thinking about the emotional life of the composer or musician
SO10,I understood the emotional meaning the writer / performer was trying to express
SO11,I admired the technique of the musicians
SO12,The music helped me understand what others might be going through
SO13,The music helped me sympathise with issues bigger than myself
SO14,The music means something if I feel connected to what the artist was feeling
SO15,The music informed me about what was popular
SO16,The music made me feel up to date with what my friends listen to
SO17,I listened because I'm interested in the musicians or band
SO18,I learned more about the world through the musical experience
SO19,Listening to music expressed my political attitude
SO20,I identified with the artists who made the music
SO21,I cared about what life the artist had at the time they produced the music
SO22,I was interested in how the different performers came together to produce the music
SO23,The artist or band is so popular I had to know their music
SO24,I understood the meaning behind the music from what people have said about it
SO25,The meaning of the music was similar to other songs or pieces I know
SO26,I considered the hisotorical context of the music to understand it's meaning
QU1,"I experienced physical sensations (tears, shivers, etc.) while listening to the music"
QU2,"I noticed the music had an effect on my body, making me move in some way"
QU3,I got chills or goosebumps from the music
QU4,"The music changed my body (e.g. heartbeat, prickling, chills)"
QU5,Listening to the music gave me goosebumps
QU6,The music felt so great that I got goosebumps
QU7,The experience had me on the verge of crying from the song
QU8,The music sent shivers down my spine
PO1,This experience informed me about what music I like
PO2,I was looking to find new music
PO3,I expected to encounter new music
PO4,I knew I was hearing the song for the first time
PO5,I listened to music because it sounded like it would fit into my life
PO6,I listened to the music to know what was going on in the music scene
PO7,I had to bring headphones with me because I would be in public
PO8,I wanted to leave because of the music
PO9,I had to listen to the music when I wanted
FA1,I was compelled to listen because the song is so familiar
FA2,I am familiar with the musical genre
FA3,The music's familiarity compelled me to listen.
FA4,The music suits this experience because it was made for it 
FA5,The experience had a familiar vibe because of the music
FA6,The music evoked a familiar feeling during the experience.
FA7,I actively listened to the music because I am familiar with the genre.
FA8,I felt like I had to listen because of the widespread love for this music.
FA9,I wanted to listen on a device that would allow me to specifically choose what music I listen to 
FA10,I intentionally chose to listen to familiar songs over unfamiliar ones.
